"state","high_school_completion","bachelor_or_higher","year","avg_unemp_rate"
"Alabama",84.8943752670544,24.7204906830228,2016,5.8
"Alaska",92.489032333685,29.3022973493411,2016,6.625
"Arizona",86.7535579094807,28.6549826276523,2016,5.5
"Arkansas",85.8215472683766,22.1009194688407,2016,3.975
"California",82.4225188520816,32.9687346486256,2016,5.51666666666667
"Colorado",91.4037280419993,39.9740522763558,2016,3.11666666666667
"Connecticut",90.6653311838213,38.8053042528435,2016,4.875
"Delaware",89.7082639710147,31.7126780508749,2016,4.53333333333333
"District Of Columbia",89.9478253610485,57.291301444194,2016,6.23333333333333
"Florida",87.4289952118209,28.6640852269758,2016,4.90833333333333
"Georgia",86.4610306290201,30.5707227704661,2016,5.45
"Hawaii",92.2607713766993,33.0423528559294,2016,2.90833333333333
"Idaho",90.5194044908036,27.285212233454,2016,3.70833333333333
"Illinois",88.6964346953521,33.8310033650528,2016,5.88333333333333
"Indiana",88.2119063532964,25.7200732831798,2016,4.39166666666667
"Iowa",91.5885269067569,28.9451563241985,2016,3.6
"Kansas",90.5228148782831,33.0184079478469,2016,4.05
"Kentucky",85.4624044396436,23.3904372027173,2016,5.075
"Louisiana",84.225703599633,23.2634384803403,2016,6.04166666666667
"Maine",92.4974380888765,30.6358933083296,2016,3.79166666666667
"Maryland",90.1728026956105,39.1743238247611,2016,4.25
"Massachusetts",90.4984895633234,42.7942539339332,2016,4.01666666666667
"Michigan",90.3585478224531,28.1855255241326,2016,4.99166666666667
"Minnesota",92.881769157711,34.4455098312684,2016,3.86666666666667
"Mississippi",83.9857858587387,21.9004693242457,2016,5.99166666666667
"Missouri",89.6768736902965,28.553204198621,2016,4.575
"Montana",92.3723805691485,31.3211752158999,2016,4.26666666666667
"Nebraska",90.7885543584548,32.335998934722,2016,3.10833333333333
"Nevada",85.9982535239612,23.3780712149765,2016,5.83333333333333
"New Hampshire",93.0471529217267,36.6680865331289,2016,2.89166666666667
"New Jersey",89.1645399093928,38.7151926761825,2016,4.93333333333333
"New Mexico",85.6355582024111,27.3807134858008,2016,6.78333333333333
"New York",86.296203065149,35.6556461188119,2016,4.875
"North Carolina",87.2002746758357,30.4743071397983,2016,5.1
"North Dakota",91.2453226705596,29.1584617050545,2016,3.01666666666667
"Ohio",90.0783841371656,27.7578780064446,2016,5.05833333333333
"Oklahoma",87.9367201772457,25.5372177090216,2016,4.65
"Oregon",90.2834091747977,32.5886231499854,2016,4.75
"Pennsylvania",89.9212919044206,30.8448093341935,2016,5.33333333333333
"Rhode Island",88.3932617395435,34.4280777231209,2016,5.24166666666667
"South Carolina",86.5904207888134,27.4992259214339,2016,4.9
"South Dakota",91.4232782325275,29.6346430833802,2016,3
"Tennessee",86.9056236962152,26.1767868737224,2016,4.74166666666667
"Texas",82.9490104975048,28.9214222144482,2016,4.66666666666667
"Utah",91.9078097096415,32.3659015915469,2016,3.33333333333333
"Vermont",91.8604465945629,36.105074648602,2016,3.125
"Virginia",89.1123583100765,38.1468194795957,2016,4
"Washington",90.7472670677187,34.8859452995684,2016,5.19166666666667
"West Virginia",86.1534746158258,21.0999537899587,2016,6.075
"Wisconsin",92.2158493493172,29.8335340758647,2016,3.93333333333333
"Wyoming",93.2471731073695,26.5342974139144,2016,5.275
"Alabama",86.0232993794638,25.5865884025748,2017,4.50833333333333
"Alaska",91.6124821284267,28.9589938045212,2017,6.60833333333333
"Arizona",87.1044250373421,29.1589919047099,2017,4.95833333333333
"Arkansas",86.7166235625594,23.5028384902064,2017,3.74166666666667
"California",83.4461027007797,33.6811148245563,2017,4.83333333333333
"Colorado",91.6834859281241,41.2094244298499,2017,2.61666666666667
"Connecticut",90.5054959310012,38.3883994096889,2017,4.40833333333333
"Delaware",90.7240040748804,31.8998981279905,2017,4.4
"District Of Columbia",90.5848409611076,57.2422745028266,2017,6.10833333333333
"Florida",88.4123198804388,29.5783088501064,2017,4.28333333333333
"Georgia",86.995578170098,30.9321651193427,2017,4.75833333333333
"Hawaii",91.6882104579409,32.7880680540635,2017,2.23333333333333
"Idaho",91.21584042599,26.7949923212722,2017,3.18333333333333
"Illinois",89.0447834675051,34.3683020327147,2017,4.95833333333333
"Indiana",88.7564449389913,26.8858640441668,2017,3.525
"Iowa",91.9681602837002,29.1534734801401,2017,3.09166666666667
"Kansas",91.0202203178259,33.9439496656566,2017,3.64166666666667
"Kentucky",86.5414453932912,23.8772228763138,2017,4.75
"Louisiana",84.9927655999869,23.934044595722,2017,5.125
"Maine",92.6527552553402,32.8665575992275,2017,3.375
"Maryland",89.9384306050172,39.9792746660605,2017,4.06666666666667
"Massachusetts",90.752189173655,43.6174511127334,2017,3.83333333333333
"Michigan",90.8833616560195,29.0337049486552,2017,4.58333333333333
"Minnesota",93.0192310541678,35.7496152942496,2017,3.44166666666667
"Mississippi",84.5736998281736,21.6961238376675,2017,5.20833333333333
"Missouri",89.6344634056188,28.9991754451319,2017,3.79166666666667
"Montana",92.5761668689673,31.4212009190622,2017,4.1
"Nebraska",91.3838267434929,31.1649513212796,2017,2.95833333333333
"Nevada",86.7560473928415,25.1582393456695,2017,5.00833333333333
"New Hampshire",93.1990244715888,37.0718514195189,2017,2.80833333333333
"New Jersey",90.2220606849685,39.7443101634876,2017,4.51666666666667
"New Mexico",85.8860908803437,27.3140814984623,2017,6.11666666666667
"New York",86.5949619880397,36.1697651080012,2017,4.64166666666667
"North Carolina",88.0406964490906,31.4226229916795,2017,4.55
"North Dakota",93.0505121836719,30.5707246807128,2017,2.6
"Ohio",90.3046818253068,28.0349054108424,2017,4.93333333333333
"Oklahoma",88.1136658531311,25.4697781828293,2017,4.03333333333333
"Oregon",90.8876766931066,33.6841485468572,2017,4.06666666666667
"Pennsylvania",90.5495128745941,31.6675784772266,2017,4.975
"Rhode Island",88.1855841152902,33.8157003259983,2017,4.475
"South Carolina",87.5597767829909,28.006501297064,2017,4.19166666666667
"South Dakota",91.7954417191231,27.7395268070328,2017,3.01666666666667
"Tennessee",87.6873984993968,27.4127342474439,2017,3.73333333333333
"Texas",83.6632318957169,29.6307438033103,2017,4.35833333333333
"Utah",92.0606093848559,34.2642678879961,2017,3.15833333333333
"Vermont",92.4094608422237,37.2454592068379,2017,2.95
"Virginia",89.646908808421,38.8301345545961,2017,3.625
